ticker,date
AYGAZ,2024-04-25
BURCE,2024-04-25
DZGYO,2024-04-25
KTSKR,2024-04-25
MNDTR,2024-04-25
MPARK,2024-04-25
SELEC,2024-04-25
TRHOL,2024-04-25
RALYH,2024-05-10
TSKB,2024-05-10
UNLU,2024-05-10
DAGI,2024-05-24
GLYHO,2024-05-24
IHGZT,2024-05-24
OSMEN,2024-05-24
ALBRK,2024-06-07
GARAN,2024-06-07
OTKAR,2024-06-07
RUBNS,2024-06-07
SKYLP,2024-06-07
AKYHO,2024-06-26
CEOEM,2024-06-26
IHAAS,2024-06-26
MERIT,2024-06-26
ISFIN,2024-07-10
IZFAS,2024-07-10
MAKIM,2024-07-10
SAHOL,2024-07-10
SELEC,2024-07-10
USAK,2024-07-10
BEYAZ,2024-07-25
BNTAS,2024-07-25
ICUGS,2024-07-25
BOSSA,2024-08-08
CEOEM,2024-08-08
ESCAR,2024-08-08
MPARK,2024-08-08
TEKTU,2024-08-08
USAK,2024-08-08
ARSAN,2024-08-22
DMRGD,2024-08-22
EUHOL,2024-08-22
BSOKE,2024-09-06
INVES,2024-09-06
IZFAS,2024-09-06
SAFKR,2024-09-06
ANSGR,2024-09-20
ASTOR,2024-09-20
CONSE,2024-09-20
EBEBK,2024-09-20
GENIL,2024-09-20
IHYAY,2024-09-20
CELHA,2024-10-04
DESA,2024-10-04
GZNMI,2024-10-04
IHAAS,2024-10-04
KNFRT,2024-10-04
KOPOL,2024-10-04
MANAS,2024-10-04
YAYLA,2024-10-04
PSDTC,2024-10-18
AHGAZ,2024-11-04
CIMSA,2024-11-04
DERHL,2024-11-04
DURDO,2024-11-04
TAVHL,2024-11-04
BSOKE,2024-11-18
ENKAI,2024-11-18
MEKAG,2024-11-18
PRKME,2024-11-18
ARSAN,2024-12-02
CCOLA,2024-12-02
IHGZT,2024-12-02
RALYH,2024-12-02
SEGMN,2024-12-02
BNTAS,2024-12-16
EGEPO,2024-12-16
GRNYO,2024-12-30
KRPLS,2024-12-30
MACKO,2024-12-30
OFSYM,2024-12-30
SAHOL,2024-12-30
VANGD,2024-12-30
DAGI,2025-01-14
GRNYO,2025-01-14
LYDYE,2025-01-14
MPARK,2025-01-14
ULUFA,2025-01-14
BORLS,2025-01-28
DYOBY,2025-01-28
MERKO,2025-01-28
OBAMS,2025-01-28
AKCNS,2025-02-11
HATEK,2025-02-11
SAFKR,2025-02-11
AHGAZ,2025-02-25
ARDYZ,2025-02-25
BORLS,2025-02-25
TKFEN,2025-02-25
TRHOL,2025-02-25
VANGD,2025-02-25
BUCIM,2025-03-11
DARDL,2025-03-11
NETAS,2025-03-11
ESEN,2025-03-25
EUHOL,2025-03-25
HATEK,2025-03-25
MERCN,2025-03-25
TDGYO,2025-03-25
YEOTK,2025-03-25
ATLAS,2025-04-10
BEGYO,2025-04-10
BINBN,2025-04-10
EBEBK,2025-04-10
SAFKR,2025-04-10
TERA,2025-04-10
MPARK,2025-04-25
OTTO,2025-04-25
TBORG,2025-04-25
EUHOL,2025-05-12
BMSCH,2025-05-27
IEYHO,2025-05-27
IZFAS,2025-05-27
PRZMA,2025-05-27
TTKOM,2025-05-27
DAPGM,2025-06-12
EGGUB,2025-06-12
RALYH,2025-06-12
UNLU,2025-06-12
FLAP,2025-06-26
MEDTR,2025-06-26
TEKTU,2025-06-26
VSNMD,2025-06-26
AGHOL,2025-07-10
GEDIK,2025-07-10
PCILT,2025-07-10
ARASE,2025-07-25
ESEN,2025-07-25
TMPOL,2025-07-25
QNBTR,2025-08-08
TUPRS,2025-08-08
INVES,2025-08-22
MACKO,2025-08-22
PCILT,2025-08-22
RODRG,2025-08-22
TURGG,2025-08-22
BEYAZ,2025-09-05
BURVA,2025-09-05
PRZMA,2025-09-05
SEYKM,2025-09-05
CVKMD,2025-09-19
ESEN,2025-09-19
KLRHO,2025-09-19
PRZMA,2025-09-19
CEMZY,2025-10-03
DESPC,2025-10-03
AGESA,2025-10-17
BURCE,2025-10-17
IZFAS,2025-10-17
COSMO,2025-11-03
ENKAI,2025-11-03
PRKAB,2025-11-03
RALYH,2025-11-03
BLCYT,2025-11-17
BURVA,2025-11-17
CEMZY,2025-11-17
GOODY,2025-11-17
NTHOL,2025-11-17
UFUK,2025-11-17
EBEBK,2025-12-01
HALKB,2025-12-01
IEYHO,2025-12-01
BARMA,2025-12-15
BURCE,2025-12-15
GUNDG,2025-12-15
TABGD,2025-12-15
COSMO,2025-12-29
FZLGY,2025-12-29
AEFES,2026-01-13
AHSGY,2026-01-13
BRISA,2026-01-13
DOHOL,2026-01-13
GLRMK,2026-01-13
OFSYM,2026-01-13
BASGZ,2026-01-27
KRONT,2026-01-27
ULUFA,2026-01-27
AKYHO,2026-02-10
ATLAS,2026-02-10
ISFIN,2026-02-10
RGYAS,2026-02-10
CRDFA,2026-02-24
GMTAS,2026-02-24
TRCAS,2026-02-24
ZOREN,2026-02-24
ANSGR,2026-03-10
BASGZ,2026-03-10
FLAP,2026-03-10
FONET,2026-03-10
KRONT,2026-03-10
DOGUB,2026-03-25
MARKA,2026-03-25
OTTO,2026-03-25
GLRMK,2026-04-08
INVES,2026-04-08
RALYH,2026-04-08
RNPOL,2026-04-08
