ticker,date
A1CAP,2024-12-31
A1CAP,2026-01-02
A1CAP,2026-01-13
A1CAP,2026-02-02
ACSEL,2024-12-09
ACSEL,2025-03-10
ACSEL,2026-02-16
ACSEL,2026-03-26
ADEL,2024-03-13
ADEL,2024-03-14
ADEL,2024-04-29
ADEL,2025-03-06
ADEL,2025-03-07
ADEL,2025-04-21
ADEL,2025-04-24
ADEL,2025-11-21
ADEL,2025-11-24
ADEL,2026-01-15
ADEL,2026-03-30
ADEL,2026-03-31
ADEL,2026-04-02
ADEL,2026-04-03
ADESE,2024-11-28
ADESE,2024-12-03
ADESE,2025-01-06
ADGYO,2024-03-04
ADGYO,2026-01-06
ADGYO,2026-01-09
ADGYO,2026-01-14
ADGYO,2026-01-15
AEFES,2024-12-06
AFYON,2025-12-08
AFYON,2026-01-27
AGESA,2024-03-11
AGESA,2024-04-22
AGHOL,2024-12-06
AGHOL,2025-11-25
AGHOL,2025-12-11
AGHOL,2026-01-14
AGHOL,2026-01-30
AGROT,2025-11-18
AGROT,2026-04-06
AGYO,2024-12-05
AGYO,2026-01-19
AGYO,2026-01-26
AGYO,2026-03-12
AGYO,2026-03-17
AHGAZ,2025-03-10
AHGAZ,2025-04-08
AHGAZ,2025-04-10
AHGAZ,2026-01-22
AHGAZ,2026-01-23
AHGAZ,2026-01-29
AHSGY,2025-01-20
AHSGY,2025-12-17
AHSGY,2026-01-07
AKBNK,2024-11-21
AKBNK,2024-11-22
AKBNK,2025-03-03
AKBNK,2026-01-19
AKBNK,2026-01-28
AKCNS,2024-04-26
AKCNS,2024-12-09
AKCNS,2025-01-23
AKCNS,2025-01-24
AKCNS,2025-12-10
AKCNS,2026-01-27
AKCNS,2026-02-09
AKENR,2024-03-01
AKENR,2024-12-30
AKENR,2025-11-24
AKFGY,2024-03-12
AKFGY,2024-11-19
AKFGY,2025-03-13
AKFGY,2025-12-24
AKFIS,2026-01-23
AKFIS,2026-02-13
AKFYE,2024-03-13
AKFYE,2024-11-18
AKFYE,2026-01-16
AKFYE,2026-02-02
AKFYE,2026-02-03
AKGRT,2024-04-22
AKGRT,2024-04-24
AKGRT,2024-11-26
AKGRT,2024-11-29
AKGRT,2024-12-05
AKGRT,2024-12-06
AKGRT,2025-01-17
AKGRT,2025-03-14
AKGRT,2025-12-12
AKGRT,2026-01-15
AKMGY,2024-03-15
AKMGY,2024-04-26
AKMGY,2024-12-16
AKMGY,2025-02-18
AKMGY,2025-03-12
AKMGY,2026-02-02
AKMGY,2026-03-23
AKMGY,2026-03-24
AKMGY,2026-03-25
AKMGY,2026-04-03
AKMGY,2026-04-06
AKSA,2024-02-26
AKSA,2024-04-26
AKSA,2024-11-29
AKSA,2024-12-03
AKSA,2024-12-11
AKSA,2024-12-13
AKSA,2024-12-31
AKSA,2025-02-19
AKSA,2025-02-20
AKSA,2026-01-26
