ticker,date
POLTK,2023-11-22
SAMAT,2023-11-22
SAMAT,2023-11-23
SAMAT,2023-11-24
ORCAY,2023-11-27
SAMAT,2023-11-27
ICBCT,2023-11-28
JANTS,2023-11-28
POLTK,2023-11-28
INGRM,2023-11-29
SAMAT,2023-12-01
CATES,2024-01-17
MEGMT,2024-01-17
ULAS,2024-01-19
YAYLA,2024-01-19
YBTAS,2024-01-19
KFEIN,2024-01-22
ORCAY,2024-01-22
YAYLA,2024-01-22
YBTAS,2024-01-22
YAYLA,2024-01-23
YAYLA,2024-01-24
MMCAS,2024-01-25
PKART,2024-01-25
YBTAS,2024-01-25
LYDHO,2024-01-26
ORCAY,2024-01-26
ULAS,2024-01-26
YBTAS,2024-01-26
BALAT,2024-01-29
EMNIS,2024-01-29
ORCAY,2024-01-29
YBTAS,2024-01-29
BALAT,2024-01-30
BASCM,2024-01-30
EKIZ,2024-01-30
LINK,2024-01-30
MMCAS,2024-01-30
ORCAY,2024-01-30
SODSN,2024-01-30
ULUSE,2024-01-30
YONGA,2024-01-30
AGROT,2024-01-31
AKSUE,2024-01-31
BRKO,2024-01-31
EKIZ,2024-01-31
LYDHO,2024-01-31
ORMA,2024-02-01
AVHOL,2024-02-02
BALAT,2024-02-02
ISBIR,2024-02-02
AVHOL,2024-02-05
ISBIR,2024-02-05
TBORG,2024-02-05
BRKVY,2024-02-07
FONET,2024-02-07
IMASM,2024-02-07
KUVVA,2024-02-07
LYDHO,2024-02-07
MANAS,2024-02-07
REEDR,2024-02-07
SMRTG,2024-02-07
TBORG,2024-02-07
VESTL,2024-02-07
CASA,2024-02-08
KLNMA,2024-02-08
REEDR,2024-02-08
BNTAS,2024-02-09
CASA,2024-02-09
GUBRF,2024-02-12
IMASM,2024-02-12
REEDR,2024-02-12
VESTL,2024-02-12
ARZUM,2024-02-13
FONET,2024-02-13
GUBRF,2024-02-13
TDGYO,2024-02-13
ETYAT,2024-02-14
FONET,2024-02-14
KENT,2024-02-14
PAPIL,2024-02-14
ETYAT,2024-02-15
KENT,2024-02-15
KERVN,2024-02-15
TDGYO,2024-02-15
SONME,2024-02-16
TDGYO,2024-02-16
KAPLM,2024-02-19
KSTUR,2024-02-19
TDGYO,2024-02-19
CMENT,2024-02-20
EUKYO,2024-02-20
KAPLM,2024-02-20
BRKVY,2024-02-22
KSTUR,2024-02-22
SODSN,2024-02-22
UFUK,2024-02-22
FONET,2024-02-23
SODSN,2024-02-23
EMNIS,2024-02-26
UFUK,2024-02-26
YONGA,2024-02-26
EMNIS,2024-02-27
EUYO,2024-02-27
KCAER,2024-02-27
NETAS,2024-02-27
VBTYZ,2024-02-27
GEREL,2024-02-28
YAYLA,2024-02-28
EUYO,2024-02-29
YAYLA,2024-02-29
QNBTR,2024-03-01
SUMAS,2024-03-01
YAYLA,2024-03-01
DERIM,2024-03-08
DERIM,2024-03-11
KENT,2024-03-12
AKENR,2024-04-01
SEYKM,2024-04-15
KCAER,2024-04-16
DNISI,2024-04-17
UFUK,2024-04-17
CONSE,2024-04-19
CONSE,2024-04-22
CRDFA,2024-04-22
CONSE,2024-04-24
EGEPO,2024-04-24
SKTAS,2024-04-24
SNPAM,2024-04-24
BURCE,2024-04-25
IMASM,2024-04-25
YYAPI,2024-04-25
EDIP,2024-04-26
MAGEN,2024-04-26
BALAT,2024-04-29
DERIM,2024-04-29
ISBIR,2024-04-29
BALAT,2024-04-30
MEGAP,2024-04-30
DARDL,2024-12-02
PAPIL,2024-12-02
YAYLA,2024-12-03
BASCM,2024-12-09
YBTAS,2024-12-09
SANKO,2024-12-10
USAK,2024-12-10
BRKVY,2024-12-11
GSDDE,2024-12-11
KENT,2024-12-11
AYCES,2024-12-16
CUSAN,2024-12-16
ISBIR,2024-12-16
KATMR,2024-12-16
SNPAM,2024-12-16
BRKO,2024-12-17
SODSN,2024-12-17
BRKO,2024-12-18
EUYO,2024-12-18
TURGG,2024-12-18
AKENR,2024-12-27
ATSYH,2024-12-30
EMKEL,2024-12-31
NATEN,2024-12-31
HEDEF,2025-01-06
BAYRK,2025-01-07
RTALB,2025-01-08
KARTN,2025-01-10
BRKVY,2025-01-20
DIRIT,2025-01-21
IHAAS,2025-01-30
AKSUE,2025-02-25
ADEL,2025-03-10
IZINV,2025-03-10
QNBFK,2025-03-10
USAK,2025-03-10
ADEL,2025-03-11
PAPIL,2025-03-11
ETILR,2025-03-12
TKNSA,2025-03-12
BRLSM,2025-03-13
ETILR,2025-03-13
TKNSA,2025-03-13
ETILR,2025-03-14
ETILR,2025-03-17
EUHOL,2025-03-17
IHAAS,2025-03-17
INTEK,2025-03-17
TKFEN,2025-03-17
TKNSA,2025-03-17
DERHL,2025-03-18
ETILR,2025-03-18
EUHOL,2025-03-18
YUNSA,2025-03-18
POLHO,2025-04-02
BALAT,2025-04-03
BMSCH,2025-04-03
CEMTS,2025-04-03
BALAT,2025-04-04
CEMTS,2025-04-04
TUREX,2025-04-04
SMRVA,2025-04-08
TRHOL,2025-04-08
YONGA,2025-04-08
EGEGY,2025-04-09
TRHOL,2025-04-09
YONGA,2025-04-09
BAGFS,2025-04-10
MOBTL,2025-04-10
TRHOL,2025-04-10
SNPAM,2025-04-11
TUREX,2025-04-11
GZNMI,2025-04-14
MOBTL,2025-04-15
TUREX,2025-04-15
AVOD,2025-04-16
MOBTL,2025-04-16
POLTK,2025-04-16
MOBTL,2025-04-17
BSOKE,2025-04-18
MOBTL,2025-04-18
ADEL,2025-04-22
DOKTA,2025-04-22
GARFA,2025-04-22
TUREX,2025-04-22
TURGG,2025-04-22
VANGD,2025-04-22
VKFYO,2025-04-22
GARFA,2025-04-24
VKFYO,2025-04-24
GARFA,2025-04-25
SOKE,2025-04-25
GARFA,2025-04-28
VSNMD,2025-04-28
ADESE,2025-04-29
GARFA,2025-04-29
IMASM,2025-04-29
KUVVA,2025-04-29
MARBL,2025-04-29
KUVVA,2025-04-30
LRSHO,2025-04-30
TUREX,2025-04-30
BARMA,2025-11-17
BALAT,2025-11-18
GUNDG,2025-11-27
HALKB,2025-12-01
EKIZ,2025-12-04
MMCAS,2025-12-09
VKFYO,2025-12-09
YAPRK,2025-12-09
ARMGD,2025-12-11
SELVA,2025-12-11
BRKO,2025-12-12
ALKA,2025-12-16
ATEKS,2025-12-19
EUKYO,2025-12-19
RYSAS,2025-12-19
USAK,2025-12-19
ATEKS,2025-12-22
ATEKS,2025-12-23
POLTK,2025-12-23
BALSU,2025-12-24
EKIZ,2025-12-25
KLMSN,2025-12-25
RUBNS,2026-01-02
RUBNS,2026-01-05
KSTUR,2026-01-06
SAHOL,2026-01-06
TCKRC,2026-01-06
KSTUR,2026-01-07
SARKY,2026-01-07
TCKRC,2026-01-07
BURCE,2026-01-08
FZLGY,2026-01-08
BURCE,2026-01-09
KTLEV,2026-01-12
SARKY,2026-01-12
HEDEF,2026-01-13
BSOKE,2026-01-14
SARKY,2026-01-14
VANGD,2026-01-14
ATATP,2026-01-15
BSOKE,2026-01-15
SARKY,2026-01-15
SEGMN,2026-01-15
BSOKE,2026-01-16
SEGMN,2026-01-16
ONCSM,2026-01-19
SEGMN,2026-01-19
EPLAS,2026-01-20
SEGMN,2026-01-20
EPLAS,2026-01-21
GRNYO,2026-01-21
MARMR,2026-01-21
BVSAN,2026-01-22
BASCM,2026-01-26
BASCM,2026-01-27
GUBRF,2026-01-28
ALVES,2026-01-29
CEMAS,2026-01-29
CUSAN,2026-01-29
PRKAB,2026-01-29
PRKME,2026-01-29
TUCLK,2026-01-29
ATLAS,2026-01-30
ATLAS,2026-02-02
CEMAS,2026-02-02
PNSUT,2026-02-02
AYES,2026-02-05
SEKUR,2026-02-05
BINHO,2026-02-09
BRKO,2026-02-09
SEKUR,2026-02-09
ATEKS,2026-02-10
BINHO,2026-02-10
GEREL,2026-02-10
GEREL,2026-02-11
DIRIT,2026-02-12
SMART,2026-02-12
DIRIT,2026-02-13
GEREL,2026-02-13
QUAGR,2026-02-13
SEGYO,2026-02-13
YAPRK,2026-02-13
AKFIS,2026-02-16
FLAP,2026-02-16
GZNMI,2026-02-16
ICUGS,2026-02-16
KERVN,2026-02-16
KLNMA,2026-02-16
ORMA,2026-02-16
AKFIS,2026-02-17
MACKO,2026-02-17
ODINE,2026-02-17
AKFIS,2026-02-18
ODINE,2026-02-18
AKFIS,2026-02-19
ODINE,2026-02-19
DSTKF,2026-02-24
MANAS,2026-02-25
