setup_label,execution_label,market_context,count
ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,REGIME_SHORT,19
ACCEPTED_CONTINUATION_SETUP,SIZE_REDUCED,REGIME_SHORT,12
ACCEPTED_CONTINUATION_SETUP,WAIT_BETTER_ENTRY,REGIME_SHORT,6
CONTINUATION_SETUP,EXECUTABLE,REGIME_SHORT,2
CONTINUATION_SETUP,SIZE_REDUCED,REGIME_SHORT,4
CONTINUATION_SETUP,WAIT_BETTER_ENTRY,REGIME_SHORT,16
EXTENDED_CONTEXT,PAPER_ONLY,REGIME_SHORT,3
RETEST_SETUP,EXECUTABLE,REGIME_SHORT,8
RETEST_SETUP,SIZE_REDUCED,REGIME_SHORT,8
RETEST_SETUP,WAIT_BETTER_ENTRY,REGIME_SHORT,11
RETEST_SETUP,WAIT_RETEST,REGIME_SHORT,124
TRIGGERED_SETUP,WAIT_BETTER_ENTRY,REGIME_SHORT,17
