setup_label,execution_label,market_context,count
ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,REGIME_LONG,43
ACCEPTED_CONTINUATION_SETUP,SIZE_REDUCED,REGIME_LONG,29
ACCEPTED_CONTINUATION_SETUP,WAIT_BETTER_ENTRY,REGIME_LONG,6
CONTINUATION_SETUP,EXECUTABLE,REGIME_LONG,9
CONTINUATION_SETUP,SIZE_REDUCED,REGIME_LONG,8
CONTINUATION_SETUP,WAIT_BETTER_ENTRY,REGIME_LONG,16
EXTENDED_CONTEXT,PAPER_ONLY,REGIME_LONG,20
RETEST_SETUP,EXECUTABLE,REGIME_LONG,23
RETEST_SETUP,PAPER_ONLY,REGIME_LONG,1
RETEST_SETUP,SIZE_REDUCED,REGIME_LONG,21
RETEST_SETUP,WAIT_BETTER_ENTRY,REGIME_LONG,33
RETEST_SETUP,WAIT_RETEST,REGIME_LONG,58
TRIGGERED_SETUP,PAPER_ONLY,REGIME_LONG,2
TRIGGERED_SETUP,SIZE_REDUCED,REGIME_LONG,6
TRIGGERED_SETUP,WAIT_BETTER_ENTRY,REGIME_LONG,63
