section,ticker,source,family,state,timeframe,setup_label,execution_label,market_context,reason_codes,entry_ref,stop_ref,atr,fill_assumption,risk_atr,paper_stream_ref,notes,trident_tag,trident_D_pct,trident_SIL_pct_below_B,trident_zone_width_pct,trident_zone_age_bars,trident_weekly_family,trident_tier1_active
EXECUTABLE,AGESA,mb_scanner,bb_1w__above_mb_birth,continuation,1w,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,250.25,225.5375,16.874999999999996,next_open,1.464444444444445,,,,2.50,-9.88,0.08,7,,
EXECUTABLE,AGESA,mb_scanner,mb_1w__above_mb_birth,continuation,1w,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,250.25,227.1375,16.874999999999996,next_open,1.3696296296296306,,,,9.98,-9.24,0.08,7,,
EXECUTABLE,AGESA,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,250.25,239.71464285714285,5.617857142857147,next_open,1.875333757151939,,,,7.45,-4.21,0.01,39,,
EXECUTABLE,AGESA,mb_scanner,mb_5h__retest_bounce_first,retest,5h,RETEST_SETUP,EXECUTABLE,neutral,retest_confirmed;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,250.25,241.71464285714285,5.617857142857147,next_open,1.5193261284170378,,,,,,,,,
EXECUTABLE,CEMZY,mb_scanner,bb_1d__retest_bounce_first,retest,1d,RETEST_SETUP,EXECUTABLE,neutral,retest_confirmed;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,14.0,12.629,0.7699999999999999,next_open,1.7805194805194813,,,,,,,,,
EXECUTABLE,CEMZY,mb_scanner,bb_5h__above_mb_birth,continuation,5h,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,13.69,12.926785714285714,0.5107142857142855,next_open,1.494405594405595,,,,0.99,-5.57,0.01,4,,
EXECUTABLE,CEMZY,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,14.0,12.769,0.7699999999999999,next_open,1.5987012987012987,,,,7.93,-8.79,0.02,11,,
EXECUTABLE,CEMZY,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,13.69,13.036785714285713,0.5107142857142855,next_open,1.2790209790209806,,,,11.67,-8.24,0.04,21,,
EXECUTABLE,KRONT,mb_scanner,bb_1d__above_mb_birth,continuation,1d,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,20.42,19.023642857142857,1.187857142857143,next_open,1.175526157546604,,,,2.45,-6.84,0.01,4,,
EXECUTABLE,KRONT,mb_scanner,bb_5h__above_mb_birth,continuation,5h,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,20.12,19.160142857142855,0.7328571428571432,next_open,1.309746588693961,,,,2.45,-4.77,0.01,7,,
EXECUTABLE,KRONT,mb_scanner,bb_5h__retest_bounce_first,retest,5h,RETEST_SETUP,EXECUTABLE,neutral,retest_confirmed;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,20.42,19.173642857142855,0.6878571428571433,next_open,1.8119418483904504,,,,,,,,,
EXECUTABLE,LILAK,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,36.5,33.95357142857143,1.4214285714285724,next_open,1.7914572864321592,,,,2.79,-6.26,0.03,4,,
EXECUTABLE,LILAK,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,36.5,34.21357142857143,1.4214285714285724,next_open,1.6085427135678392,,,,2.79,-6.26,0.03,4,,
EXECUTABLE,LILAK,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,35.76,34.381142857142855,0.8628571428571422,next_open,1.598013245033114,,,,3.15,-3.86,0.03,7,,
EXECUTABLE,OYAKC,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,21.24,20.433857142857143,0.6871428571428569,next_open,1.1731808731808715,,,,2.54,-3.80,0.02,8,,
EXECUTABLE,OYAKC,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,21.24,20.293857142857142,0.6871428571428569,next_open,1.376923076923076,,,,2.54,-3.80,0.02,8,,
EXECUTABLE,OYAKC,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,21.24,20.502,0.45999999999999985,next_open,1.6043478260869561,,,,3.32,-3.75,0.02,5,,
EXECUTABLE,VERUS,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,618.0,594.9214285714286,16.928571428571427,next_open,1.363291139240506,,,,20.95,-2.31,0.02,12,,
EXECUTABLE,VERUS,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,611.0,596.8714285714286,10.428571428571429,next_open,1.3547945205479401,,,D_PCT_30PLUS,32.90,-2.31,0.01,8,,
EXECUTABLE,VERUS,mb_scanner,mb_5h__retest_bounce_first,retest,5h,RETEST_SETUP,EXECUTABLE,neutral,retest_confirmed;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,618.0,596.775,10.75,next_open,1.974418604651165,,,,,,,,,
EXECUTABLE,AHGAZ,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,33.44,30.909285714285716,1.4357142857142862,next_open,1.762686567164176,,,,9.37,-8.58,0.00,10,,
EXECUTABLE,AHGAZ,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,33.44,30.569285714285716,1.4357142857142862,next_open,1.9995024875621858,,,,9.37,-8.58,0.00,10,,
EXECUTABLE,AKSA,mb_scanner,mb_1w__above_mb_birth,continuation,1w,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,11.12,10.035142857142858,0.8828571428571428,next_open,1.2288025889967615,,,,6.31,-8.68,0.06,6,,
EXECUTABLE,AKSA,mb_scanner,mb_1w__above_mb_birth,continuation,1w,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,11.12,10.155142857142858,0.8828571428571428,next_open,1.0928802588996749,,,,6.31,-8.68,0.06,6,,
EXECUTABLE,AVTUR,mb_scanner,mb_1d__above_mb_birth,accepted_continuation,1d,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,17.99,17.089499999999997,1.035,next_open,0.870048309178745,,,,15.23,-5.01,0.05,4,,
EXECUTABLE,AVTUR,mb_scanner,mb_5h__above_mb_birth,accepted_continuation,5h,ACCEPTED_CONTINUATION_SETUP,EXECUTABLE,neutral,accepted_horizon_h1_20d;clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,17.99,17.183999999999997,0.7199999999999999,next_open,1.119444444444446,,,,7.61,-4.48,0.01,5,,
EXECUTABLE,AYEN,mb_scanner,mb_1w__above_mb_birth,continuation,1w,CONTINUATION_SETUP,EXECUTABLE,neutral,clean_breakout_context;entry_ref_present;stop_ref_present;execution_risk_ok;regime_neutral,38.44,31.480571428571427,4.731428571428571,next_open,1.4708937198067633,,,SIL_DEEP,29.01,-18.10,0.03,7,,
