ticker,n_bars,first_ts,last_ts,span_days,coverage_pct,chunks_sent,termination,time_s,status,error
A1CAP,7144,2023-06-15 09:00:00+03:00,2026-04-24 18:00:00+03:00,1044,0.9534,5,no_progress,3.22,ok,
A1YEN,8000,2023-02-02 14:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.34,ok,
AAGYO,110,2026-04-09 09:00:00+03:00,2026-04-24 18:00:00+03:00,15,0.0137,2,no_progress,0.99,ok,
ACSEL,8000,2023-02-02 16:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.31,ok,
ADEL,8000,2023-01-17 15:00:00+03:00,2026-04-24 18:00:00+03:00,1193,1.0,4,target,2.32,ok,
ADESE,8000,2023-01-31 17:00:00+03:00,2026-04-24 18:00:00+03:00,1179,1.0,4,target,2.4,ok,
ADGYO,6500,2023-09-20 09:00:00+03:00,2026-04-24 18:00:00+03:00,947,0.8648,5,no_progress,2.78,ok,
AEFES,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.33,ok,
AFYON,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.05,ok,
AGESA,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.32,ok,
AGHOL,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.36,ok,
AGROT,6040,2023-11-23 09:00:00+03:00,2026-04-24 18:00:00+03:00,883,0.8064,5,no_progress,2.89,ok,
AGYO,8000,2023-02-02 15:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.36,ok,
AHGAZ,8000,2023-01-26 17:00:00+03:00,2026-04-24 18:00:00+03:00,1184,1.0,4,target,2.4,ok,
AHSGY,4146,2024-08-29 09:00:00+03:00,2026-04-24 18:00:00+03:00,603,0.5507,4,no_progress,2.21,ok,
AKBNK,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.02,ok,
AKCNS,8000,2023-01-27 17:00:00+03:00,2026-04-24 18:00:00+03:00,1183,1.0,4,target,2.38,ok,
AKENR,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.24,ok,
AKFGY,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.31,ok,
AKFIS,3132,2025-01-23 09:00:00+03:00,2026-04-24 18:00:00+03:00,456,0.4164,3,no_progress,2.11,ok,
AKFYE,7758,2023-03-16 09:00:00+03:00,2026-04-24 18:00:00+03:00,1135,1.0,4,target,3.0,ok,
AKGRT,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.83,ok,
AKHAN,534,2026-02-06 09:00:00+03:00,2026-04-24 18:00:00+03:00,77,0.0703,2,no_progress,1.26,ok,
AKMGY,8000,2023-01-26 17:00:00+03:00,2026-04-24 18:00:00+03:00,1184,1.0,4,target,2.85,ok,
AKSA,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,3.04,ok,
AKSEN,8000,2023-01-31 17:00:00+03:00,2026-04-24 18:00:00+03:00,1179,1.0,4,target,2.8,ok,
AKSGY,8000,2023-01-31 17:00:00+03:00,2026-04-24 18:00:00+03:00,1179,1.0,4,target,2.81,ok,
AKSUE,8000,2023-02-02 15:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.96,ok,
AKYHO,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.78,ok,
ALARK,8000,2023-02-01 16:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.81,ok,
ALBRK,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.8,ok,
ALCAR,8000,2023-01-30 15:00:00+03:00,2026-04-24 18:00:00+03:00,1180,1.0,4,target,2.92,ok,
ALCTL,8000,2023-01-31 16:00:00+03:00,2026-04-24 18:00:00+03:00,1179,1.0,4,target,2.81,ok,
ALFAS,8000,2023-01-30 17:00:00+03:00,2026-04-24 18:00:00+03:00,1180,1.0,4,target,2.84,ok,
ALGYO,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.84,ok,
ALKA,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.77,ok,
ALKIM,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.85,ok,
ALKLC,4725,2024-06-04 09:00:00+03:00,2026-04-24 18:00:00+03:00,689,0.6292,4,no_progress,2.9,ok,
ALTNY,4855,2024-05-16 09:00:00+03:00,2026-04-24 18:00:00+03:00,708,0.6466,4,no_progress,2.81,ok,
ALVES,5350,2024-02-29 09:00:00+03:00,2026-04-24 18:00:00+03:00,785,0.7169,4,no_progress,2.8,ok,
ANELE,8000,2023-01-27 16:00:00+03:00,2026-04-24 18:00:00+03:00,1183,1.0,4,target,2.97,ok,
ANGEN,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,3.06,ok,
ANHYT,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.78,ok,
ANSGR,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,3.1,ok,
ARASE,8000,2023-02-01 15:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.81,ok,
ARCLK,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,3.18,ok,
ARDYZ,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.85,ok,
ARENA,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,3.03,ok,
ARFYE,774,2026-01-05 09:00:00+03:00,2026-04-24 18:00:00+03:00,109,0.0995,2,no_progress,1.23,ok,
ARMGD,3272,2025-01-03 09:00:00+03:00,2026-04-24 18:00:00+03:00,476,0.4347,3,no_progress,2.09,ok,
ARSAN,8000,2022-11-10 12:00:00+03:00,2026-04-24 18:00:00+03:00,1261,1.0,4,target,3.08,ok,
ARTMS,5330,2024-03-04 09:00:00+03:00,2026-04-24 18:00:00+03:00,781,0.7132,4,no_progress,2.84,ok,
ARZUM,8000,2023-02-01 14:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,3.0,ok,
ASELS,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.4,ok,
ASGYO,6820,2023-08-03 09:00:00+03:00,2026-04-24 18:00:00+03:00,995,0.9087,5,no_progress,3.31,ok,
ASTOR,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.5,ok,
ASUZU,8000,2023-01-27 18:00:00+03:00,2026-04-24 18:00:00+03:00,1183,1.0,4,target,2.29,ok,
ATAGY,8000,2023-02-02 09:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.73,ok,
ATAKP,6880,2023-07-27 09:00:00+03:00,2026-04-24 18:00:00+03:00,1002,0.9151,5,no_progress,3.33,ok,
ATATP,8000,2023-01-31 14:00:00+03:00,2026-04-24 18:00:00+03:00,1179,1.0,4,target,2.99,ok,
ATATR,444,2026-02-19 09:00:00+03:00,2026-04-24 18:00:00+03:00,64,0.0584,2,no_progress,1.04,ok,
ATEKS,8000,2022-07-05 16:00:00+03:00,2026-04-24 18:00:00+03:00,1389,1.0,4,target,2.61,ok,
ATLAS,8000,2023-01-16 18:00:00+03:00,2026-04-24 18:00:00+03:00,1194,1.0,4,target,2.9,ok,
ATSYH,4000,2023-02-01 13:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,2,target,1.45,ok,
AVGYO,8000,2023-02-02 15:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.55,ok,
AVHOL,8000,2023-01-10 16:00:00+03:00,2026-04-24 18:00:00+03:00,1200,1.0,4,target,2.48,ok,
AVOD,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.64,ok,
AVPGY,5830,2023-12-21 09:00:00+03:00,2026-04-24 18:00:00+03:00,855,0.7808,4,no_progress,2.5,ok,
AVTUR,8000,2022-12-29 17:00:00+03:00,2026-04-24 18:00:00+03:00,1212,1.0,4,target,2.84,ok,
AYCES,8000,2023-02-02 10:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.19,ok,
AYDEM,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.55,ok,
AYEN,8000,2023-02-02 17:00:00+03:00,2026-04-24 18:00:00+03:00,1177,1.0,4,target,2.47,ok,
AYES,4000,2023-02-01 18:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,2,target,1.77,ok,
AYGAZ,8000,2023-02-01 17:00:00+03:00,2026-04-24 18:00:00+03:00,1178,1.0,4,target,2.65,ok,
