scan,run,universe,mode,cohort,segment,n_sig,hit5,mean5,med5,uni_mean5,rnd_mean5,rnd_p95_5,edge5,beats_rnd_p95,trade_n,trade_hit,trade_mean,trade_med,trade_pf
alpha_scan,alpha_all,ALL,pit,all_candidates,full,103617,53.9728,1.3857,0.6963,0.7420,1.0820,1.1143,0.3037,True,103931,57.1802,3.9844,2.9103,2.0074
alpha_scan,alpha_all,ALL,pit,top4,full,5001,54.7690,2.2878,1.1070,0.7420,0.7853,0.9253,1.5025,True,5009,56.7778,6.3972,3.2708,2.4001
alpha_scan,alpha_all,ALL,pit,all_candidates,pre_2025H1,79765,54.0763,1.4152,0.7299,0.7914,1.1491,1.1824,0.2661,True,79834,57.4943,4.2414,3.1512,2.0606
alpha_scan,alpha_all,ALL,pit,top4,pre_2025H1,3982,53.8674,1.9214,0.8656,0.7914,0.8268,1.0475,1.0946,True,3981,55.9156,5.7396,2.9468,2.2374
alpha_scan,alpha_all,ALL,pit,all_candidates,val_2025H2,11920,53.9178,1.2997,0.5887,0.6180,0.9272,1.0158,0.3726,True,11893,57.1849,3.3931,2.5794,1.8925
alpha_scan,alpha_all,ALL,pit,top4,val_2025H2,517,58.0271,3.5671,1.7637,0.6180,0.6111,1.1941,2.9560,True,513,60.6238,7.6177,4.7379,2.7054
alpha_scan,alpha_all,ALL,pit,all_candidates,oos_2026,11932,53.3356,1.2745,0.5604,0.5680,0.8725,0.9601,0.4020,True,12204,55.1213,2.8797,1.8796,1.7544
alpha_scan,alpha_all,ALL,pit,top4,oos_2026,502,58.5657,3.8766,2.0836,0.5680,0.6071,1.1900,3.2695,True,515,59.6117,10.2647,4.6073,3.4824
alpha_scan,alpha_xu030,XU030,pit,all_candidates,full,8151,57.2813,1.2392,1.0135,0.8434,1.1591,1.2368,0.0801,True,8171,60.6780,3.5406,2.9325,2.2007
alpha_scan,alpha_xu030,XU030,pit,top4,full,4311,55.8803,0.9457,0.8072,0.8434,0.9120,1.0610,0.0337,False,4311,59.5222,3.2021,2.6956,2.0478
alpha_scan,alpha_xu030,XU030,pit,all_candidates,pre_2025H1,6476,57.8907,1.3518,1.0985,0.9100,1.2687,1.3334,0.0831,True,6494,60.5790,3.7875,3.1246,2.2600
alpha_scan,alpha_xu030,XU030,pit,top4,pre_2025H1,3404,55.6404,0.9591,0.7754,0.9100,0.9937,1.0860,-0.0346,False,3407,58.9081,3.2144,2.8008,2.0229
alpha_scan,alpha_xu030,XU030,pit,all_candidates,val_2025H2,764,55.2356,1.2349,0.7470,0.5852,0.9521,1.2316,0.2828,True,753,64.5418,3.1185,2.4045,2.3168
alpha_scan,alpha_xu030,XU030,pit,top4,val_2025H2,447,56.8233,1.2309,0.9615,0.5852,0.7284,1.1662,0.5026,True,436,63.0734,3.2467,2.2346,2.2751
alpha_scan,alpha_xu030,XU030,pit,all_candidates,oos_2026,911,54.6652,0.4422,0.5438,0.5806,0.5057,0.7526,-0.0635,False,924,58.2251,2.1486,2.3706,1.7116
alpha_scan,alpha_xu030,XU030,pit,top4,oos_2026,460,56.7391,0.5690,1.0296,0.5806,0.5008,0.8526,0.0682,False,468,60.6838,3.0708,2.7324,2.0584
alpha_scan,alpha_xu030_cur,XU030,current,all_candidates,full,8018,57.8074,1.2987,1.0970,0.9430,1.2143,1.2690,0.0844,True,8047,61.6503,3.6285,3.0815,2.2966
alpha_scan,alpha_xu030_cur,XU030,current,top4,full,4332,56.1404,1.0345,0.8947,0.9430,1.0092,1.0972,0.0253,False,4343,60.4881,3.3315,2.8625,2.1388
alpha_scan,alpha_xu030_cur,XU030,current,all_candidates,pre_2025H1,6356,58.5903,1.4009,1.1809,1.0425,1.3138,1.3809,0.0872,True,6373,62.0430,3.8616,3.3672,2.3762
alpha_scan,alpha_xu030_cur,XU030,current,top4,pre_2025H1,3443,56.0267,1.0006,0.8753,1.0425,1.0894,1.2416,-0.0888,False,3448,60.3248,3.3568,3.0588,2.1323
alpha_scan,alpha_xu030_cur,XU030,current,all_candidates,val_2025H2,731,54.5828,0.8615,0.6186,0.4423,0.7731,0.9035,0.0884,False,731,64.5691,2.4991,2.3529,2.1058
alpha_scan,alpha_xu030_cur,XU030,current,top4,val_2025H2,435,55.1724,0.7833,0.8152,0.4423,0.6195,0.8686,0.1638,False,435,63.6782,2.6353,2.0531,2.1041
alpha_scan,alpha_xu030_cur,XU030,current,all_candidates,oos_2026,931,54.9946,0.9438,0.6536,0.7153,0.7130,0.8575,0.2308,True,943,56.7338,2.9290,2.1175,1.9256
alpha_scan,alpha_xu030_cur,XU030,current,top4,oos_2026,454,57.9295,1.5320,1.2604,0.7153,0.6666,0.9413,0.8654,True,460,58.6957,3.8005,2.2792,2.2094
alpha_scan,alpha_xu100,XU100,pit,all_candidates,full,23990,55.4023,1.2295,0.8571,0.6370,0.9759,1.0130,0.2535,True,24058,58.9409,3.5334,2.9628,2.0564
alpha_scan,alpha_xu100,XU100,pit,top4,full,4968,54.5290,1.2096,0.8042,0.6370,0.6672,0.7764,0.5424,True,4972,57.9244,4.1483,2.9352,2.1682
alpha_scan,alpha_xu100,XU100,pit,all_candidates,pre_2025H1,19212,55.3300,1.2295,0.8537,0.6869,1.0737,1.1255,0.1558,True,19242,58.9284,3.6097,3.0592,2.0677
alpha_scan,alpha_xu100,XU100,pit,top4,pre_2025H1,3950,53.0380,0.9533,0.5369,0.6869,0.6864,0.7986,0.2669,True,3952,56.3765,3.6740,2.4765,2.0048
alpha_scan,alpha_xu100,XU100,pit,all_candidates,val_2025H2,2237,57.0407,1.4794,1.0686,0.3680,0.7727,0.9479,0.7067,True,2225,61.5730,3.3543,2.9798,2.1090
alpha_scan,alpha_xu100,XU100,pit,top4,val_2025H2,517,60.1547,2.4702,1.9504,0.3680,0.3683,0.7191,2.1019,True,508,63.5827,5.5375,4.0523,2.7257
