run,universe,mode,config,cagr_pct,max_dd_pct,sharpe,total_return_pct,benchmark_total_pct,alpha_vs_xu100_pct,beta,n_trades
alpha_all,ALL,pit,prod_top4_full,322.8635,-28.3405,3.7304,142087.0271,925.6443,141161.3829,0.3757,467
alpha_all,ALL,pit,prod_top8_full,315.7004,-27.7019,4.7621,130367.5664,925.6443,129441.9222,0.4326,942
alpha_all,ALL,pit,conservative_top4_full,226.6382,-35.5777,3.1119,38650.7239,925.6443,37725.0796,0.3883,441
alpha_all,ALL,pit,conservative_top8_full,252.9328,-27.1382,4.0898,57124.0526,925.6443,56198.4084,0.4461,923
alpha_all,ALL,pit,cons_gapskip_top4_full,133.6881,-48.6583,2.4604,7078.7846,925.6443,6153.1403,0.3551,404
alpha_all,ALL,pit,cons_gapskip_top8_full,174.1294,-31.3593,3.5498,15934.8966,925.6443,15009.2524,0.4294,887
alpha_xu030,XU030,pit,prod_top4_full,85.7047,-31.1192,2.1789,2156.8298,925.6443,1231.1855,0.8190,373
alpha_xu030,XU030,pit,prod_top8_full,66.9485,-29.6701,1.9733,1220.3312,925.6443,294.6870,0.8627,799
alpha_xu030,XU030,pit,conservative_top4_full,77.5178,-32.5182,1.9575,1698.4999,925.6443,772.8557,0.8685,371
alpha_xu030,XU030,pit,conservative_top8_full,59.3046,-30.9571,1.7661,942.7991,925.6443,17.1548,0.8858,787
alpha_xu030,XU030,pit,cons_gapskip_top4_full,73.3612,-34.4489,1.9534,1496.2495,925.6443,570.6053,0.8187,363
alpha_xu030,XU030,pit,cons_gapskip_top8_full,56.9670,-28.8351,1.7190,868.0033,925.6443,-57.6410,0.8738,786
alpha_xu030_cur,XU030,current,prod_top4_full,93.1036,-34.6242,2.3952,2647.4396,925.6443,1721.7953,0.7965,384
alpha_xu030_cur,XU030,current,prod_top8_full,80.5375,-30.8010,2.2631,1857.9142,925.6443,932.2700,0.8540,806
alpha_xu030_cur,XU030,current,conservative_top4_full,86.1718,-33.5685,2.1960,2185.5556,925.6443,1259.9113,0.8418,377
alpha_xu030_cur,XU030,current,conservative_top8_full,72.5467,-32.0808,2.0514,1458.8455,925.6443,533.2012,0.8753,802
alpha_xu030_cur,XU030,current,cons_gapskip_top4_full,86.1718,-33.5685,2.1960,2185.5556,925.6443,1259.9113,0.8418,377
alpha_xu030_cur,XU030,current,cons_gapskip_top8_full,71.2813,-29.9664,2.0592,1402.1321,925.6443,476.4878,0.8592,799
alpha_xu100,XU100,pit,prod_top4_full,90.0203,-37.8993,2.1428,2433.5666,925.6443,1507.9223,0.7175,405
alpha_xu100,XU100,pit,prod_top8_full,84.6932,-31.0563,2.3028,2095.6154,925.6443,1169.9711,0.7551,841
alpha_xu100,XU100,pit,conservative_top4_full,71.6407,-37.2807,1.8850,1418.0706,925.6443,492.4263,0.7160,384
alpha_xu100,XU100,pit,conservative_top8_full,81.8691,-34.2767,2.1949,1931.7132,925.6443,1006.0689,0.7798,832
alpha_xu100,XU100,pit,cons_gapskip_top4_full,85.4358,-36.1160,2.1048,2140.4230,925.6443,1214.7787,0.7187,383
alpha_xu100,XU100,pit,cons_gapskip_top8_full,75.0168,-32.7928,2.0961,1574.4972,925.6443,648.8529,0.7776,828
alpha_xu100_cur,XU100,current,prod_top4_full,186.0999,-23.4131,3.3740,19784.9483,925.6443,18859.3040,0.6216,392
alpha_xu100_cur,XU100,current,prod_top8_full,176.4994,-31.2434,3.9203,16645.1628,925.6443,15719.5185,0.6569,817
alpha_xu100_cur,XU100,current,conservative_top4_full,173.5748,-28.6171,3.2221,15772.2359,925.6443,14846.5916,0.6158,369
alpha_xu100_cur,XU100,current,conservative_top8_full,180.4277,-29.3978,3.9471,17877.8268,925.6443,16952.1825,0.6609,799
alpha_xu100_cur,XU100,current,cons_gapskip_top4_full,185.8116,-25.6984,3.3954,19684.2662,925.6443,18758.6219,0.6478,365
alpha_xu100_cur,XU100,current,cons_gapskip_top8_full,176.1844,-32.7627,3.9043,16549.3381,925.6443,15623.6938,0.6643,799
