topn,date,day_score
1,2020-06-01,0.620372
1,2020-06-02,0.569605
1,2020-06-03,0.560857
1,2020-06-04,0.598597
1,2020-06-05,0.633222
1,2020-06-08,0.677814
1,2020-06-09,0.679604
1,2020-06-10,0.645958
1,2020-06-11,0.592915
1,2020-06-12,0.583125
1,2020-06-15,0.611511
1,2020-06-16,0.595226
1,2020-06-17,0.670857
1,2020-06-18,0.651539
1,2020-06-19,0.553433
1,2020-06-22,0.627628
1,2020-06-23,0.661484
1,2020-06-24,0.586623
1,2020-06-25,0.665269
1,2020-06-26,0.599493
1,2020-06-29,0.611912
1,2020-06-30,0.611394
1,2020-07-01,0.621574
1,2020-07-02,0.617724
1,2020-07-03,0.608054
1,2020-07-06,0.658412
1,2020-07-07,0.666776
1,2020-07-08,0.617651
1,2020-07-09,0.59737
1,2020-07-10,0.600235
1,2020-07-13,0.692232
1,2020-07-14,0.580036
1,2020-07-16,0.614562
1,2020-07-17,0.692336
1,2020-07-20,0.726925
1,2020-07-21,0.726925
1,2020-07-22,0.601154
1,2020-07-23,0.61155
1,2020-07-24,0.655419
1,2020-07-27,0.744235
1,2020-07-28,0.64228
1,2020-07-29,0.649554
1,2020-07-30,0.691424
1,2020-08-04,0.742672
1,2020-08-05,0.731829
1,2020-08-06,0.735214
1,2020-08-07,0.65591
1,2020-08-10,0.641679
1,2020-08-11,0.719459
1,2020-08-12,0.637518
1,2020-08-13,0.572206
1,2020-08-14,0.538042
1,2020-08-17,0.575211
1,2020-08-18,0.631645
1,2020-08-19,0.598728
1,2020-08-20,0.614081
1,2020-08-21,0.526488
1,2020-08-24,0.643055
1,2020-08-25,0.534471
1,2020-08-26,0.642475
1,2020-08-27,0.609487
1,2020-08-28,0.554188
1,2020-08-31,0.621723
1,2020-09-01,0.66302
1,2020-09-02,0.680876
1,2020-09-03,0.671731
1,2020-09-04,0.565012
1,2020-09-07,0.685893
1,2020-09-08,0.687363
1,2020-09-09,0.743046
1,2020-09-10,0.510812
1,2020-09-11,0.550542
1,2020-09-14,0.52706
1,2020-09-15,0.562286
1,2020-09-16,0.580879
1,2020-09-17,0.558994
1,2020-09-18,0.619238
1,2020-09-21,0.684667
1,2020-09-22,0.620168
1,2020-09-23,0.622389
1,2020-09-24,0.529555
1,2020-09-25,0.580975
1,2020-09-28,0.638243
1,2020-09-29,0.708803
1,2020-09-30,0.756904
1,2020-10-01,0.524324
1,2020-10-02,0.539396
1,2020-10-05,0.631288
1,2020-10-06,0.733024
1,2020-10-07,0.669029
1,2020-10-08,0.733828
1,2020-10-09,0.705359
1,2020-10-12,0.742387
1,2020-10-13,0.639915
1,2020-10-14,0.593787
1,2020-10-15,0.672615
1,2020-10-16,0.742137
1,2020-10-19,0.742137
1,2020-10-20,0.708506
1,2020-10-21,0.617562
1,2020-10-22,0.581183
1,2020-10-23,0.532313
1,2020-10-26,0.582718
1,2020-10-27,0.6905
1,2020-10-28,0.654726
1,2020-10-30,0.697136
1,2020-11-02,0.574731
1,2020-11-03,0.569065
1,2020-11-04,0.579017
1,2020-11-05,0.559151
1,2020-11-06,0.562693
1,2020-11-09,0.53807
1,2020-11-10,0.555781
1,2020-11-11,0.54745
1,2020-11-12,0.520065
1,2020-11-13,0.592708
1,2020-11-16,0.583741
1,2020-11-17,0.582126
1,2020-11-18,0.614777
1,2020-11-19,0.559602
1,2020-11-20,0.592504
1,2020-11-23,0.607369
1,2020-11-24,0.623926
1,2020-11-25,0.555751
1,2020-11-26,0.740264
1,2020-11-27,0.724897
1,2020-11-30,0.633062
1,2020-12-01,0.611161
1,2020-12-02,0.610225
1,2020-12-03,0.663584
1,2020-12-04,0.601929
1,2020-12-07,0.539263
1,2020-12-08,0.551053
1,2020-12-09,0.667742
1,2020-12-10,0.654195
1,2020-12-11,0.667133
1,2020-12-14,0.6194
1,2020-12-15,0.555691
1,2020-12-16,0.556663
1,2020-12-17,0.567944
1,2020-12-18,0.669155
1,2020-12-21,0.733489
1,2020-12-22,0.572626
1,2020-12-23,0.735741
1,2020-12-24,0.718482
1,2020-12-25,0.551215
1,2020-12-28,0.589129
1,2020-12-29,0.610486
1,2020-12-30,0.610826
1,2020-12-31,0.704722
1,2021-01-04,0.561546
1,2021-01-05,0.581859
1,2021-01-06,0.569116
1,2021-01-07,0.601978
1,2021-01-08,0.716895
1,2021-01-11,0.545675
1,2021-01-12,0.555264
1,2021-01-13,0.544438
1,2021-01-14,0.573729
1,2021-01-15,0.585143
1,2021-01-18,0.623697
1,2021-01-19,0.597221
1,2021-01-20,0.638423
1,2021-01-21,0.591189
1,2021-01-22,0.570198
1,2021-01-25,0.60809
1,2021-01-26,0.613393
1,2021-01-27,0.570153
1,2021-01-28,0.591675
1,2021-01-29,0.598391
1,2021-02-01,0.606093
1,2021-02-02,0.617641
1,2021-02-03,0.53646
1,2021-02-04,0.573982
1,2021-02-05,0.555419
1,2021-02-08,0.585522
1,2021-02-09,0.53631
1,2021-02-10,0.556947
1,2021-02-11,0.549061
1,2021-02-12,0.578412
1,2021-02-15,0.605586
1,2021-02-16,0.598842
1,2021-02-17,0.63649
1,2021-02-18,0.63649
