ticker,rank,score,weight
RAYSG,1.0,11.571123340000732,0.05
POLTK,2.0,9.292620661981049,0.05
PAPIL,3.0,8.511363192313127,0.05
CMBTN,4.0,8.434767846795447,0.05
LINK,5.0,7.579613481006498,0.05
BJKAS,6.0,6.235009353031955,0.05
ATATP,7.0,6.180665366061648,0.05
KLRHO,8.0,6.079737290421155,0.05
ARDYZ,9.0,5.472769051485698,0.05
BRKSN,10.0,4.70847784367822,0.05
BRSAN,11.0,4.499104635573661,0.05
TURSG,12.0,4.4608995741220685,0.05
OZRDN,13.0,4.253542952474131,0.05
BRYAT,14.0,4.158560681234668,0.05
PINSU,15.0,3.8822072381762758,0.05
MTRKS,16.0,3.772590243179972,0.05
ENSRI,17.0,3.6451636260585216,0.05
BSOKE,18.0,3.5039411027552414,0.05
ICUGS,19.0,3.495088027499342,0.05
AZTEK,20.0,3.4119334005935174,0.05
