ticker,rank,score,weight
BIMAS,2,0.9147935358086816,0.05
TUPRS,3,0.9147157139738209,0.05
KCHOL,4,0.9104049427884005,0.05
GARAN,5,0.8907405828421736,0.05
TAVHL,6,0.8878576197829499,0.05
YKBNK,7,0.885333289619038,0.05
AKBNK,8,0.8851983818068059,0.05
THYAO,10,0.8792529505876044,0.05
SAHOL,11,0.876216807158237,0.05
MGROS,12,0.8702164668894444,0.05
PINSU,13,0.867792256639458,0.05
TCELL,14,0.8670347670629491,0.05
DOCO,15,0.8642947260312779,0.05
CCOLA,16,0.8638527745994072,0.05
FROTO,17,0.8484716373091337,0.05
ENJSA,19,0.8469985530606865,0.05
AEFES,21,0.8290304766203278,0.05
OTKAR,23,0.8171311281010815,0.05
ASELS,24,0.8083216351880435,0.05
MAVI,25,0.8032463660948754,0.05
