ticker,rank,score,weight
HEDEF,1,12.998517542723171,0.05
IEYHO,2,9.931815570246645,0.05
CRDFA,3,9.873753037815337,0.05
ODINE,4,9.337220786121001,0.05
ALKLC,5,8.14627824627994,0.05
MAGEN,6,6.08341794261176,0.05
OZRDN,7,5.460220569938193,0.05
ENSRI,8,5.244605813340258,0.05
GMTAS,9,4.956934995915142,0.05
EDATA,10,4.601168408703387,0.05
ISKPL,11,4.093235904713875,0.05
BASGZ,12,3.801892023423668,0.05
MEGMT,13,3.625654791141617,0.05
BARMA,14,3.617774534342872,0.05
ARMGD,15,3.6074494602775333,0.05
ASELS,16,3.5232335359856863,0.05
ARASE,17,3.472212459514482,0.05
CEMZY,18,3.3043993418583435,0.05
LIDER,19,3.238452939699346,0.05
LIDFA,20,3.213367130674073,0.05
