ticker,rank,score,selected,prev_selected,status
ARMGD,1,0.9661142101482839,True,False,new_entrant
BASGZ,2,0.9505125483741259,True,True,core_keeper
EUKYO,3,0.9371421283337025,True,False,new_entrant
LIDFA,4,0.8973660739056907,True,True,core_keeper
BARMA,5,0.8930472188956182,True,True,core_keeper
ARASE,6,0.8881362610724871,True,True,core_keeper
OYAYO,7,0.8706322518523557,True,True,core_keeper
IEYHO,8,0.868943640424347,True,False,new_entrant
EGEPO,9,0.8681871532187045,True,True,core_keeper
GMTAS,10,0.8655461563319078,True,True,core_keeper
EUYO,11,0.8650609850239308,True,False,new_entrant
ETYAT,12,0.8603520148216767,True,False,new_entrant
OZRDN,13,0.860328930776483,True,False,new_entrant
ODINE,14,0.851416308619648,True,True,core_keeper
EBEBK,15,0.8445375663726966,True,True,core_keeper
KUVVA,16,0.8415037922482914,True,True,core_keeper
KRVGD,17,0.8191663176042523,True,True,core_keeper
LIDER,18,0.8162263135173204,True,False,new_entrant
BYDNR,19,0.8102550628218312,False,False,crowded_out
AKSUE,20,0.8084191030056078,False,False,crowded_out
MEPET,21,0.8006522543427489,False,False,bystander
BRKSN,22,0.7995059216237228,False,False,bystander
CRDFA,23,0.7939875591184646,False,False,bystander
NTGAZ,24,0.7814327810941805,False,False,bystander
ASUZU,25,0.7794607269665598,False,False,bystander
OZYSR,26,0.7781814312923854,True,True,sticky_keep
KIMMR,27,0.777461669624185,False,False,bystander
ISFIN,28,0.773929173207752,True,True,sticky_keep
BSOKE,29,0.7736352901900752,False,False,bystander
ANHYT,30,0.7710443441086867,False,False,bystander
