ticker,rank,score,weight
ARMGD,1,0.9661142101482839,0.05
BASGZ,2,0.9505125483741259,0.05
EUKYO,3,0.9371421283337025,0.05
LIDFA,4,0.8973660739056907,0.05
BARMA,5,0.8930472188956182,0.05
ARASE,6,0.8881362610724871,0.05
OYAYO,7,0.8706322518523557,0.05
IEYHO,8,0.868943640424347,0.05
EGEPO,9,0.8681871532187045,0.05
GMTAS,10,0.8655461563319078,0.05
EUYO,11,0.8650609850239308,0.05
ETYAT,12,0.8603520148216767,0.05
OZRDN,13,0.860328930776483,0.05
ODINE,14,0.851416308619648,0.05
EBEBK,15,0.8445375663726966,0.05
KUVVA,16,0.8415037922482914,0.05
KRVGD,17,0.8191663176042523,0.05
LIDER,18,0.8162263135173204,0.05
OZYSR,26,0.7781814312923854,0.05
ISFIN,28,0.773929173207752,0.05
