date,new_entries_raw,exposure_raw,month,monthly_closed_trades,monthly_avg_R,monthly_avg_net_return_pct
2023-04-17,1,1,2023-04,,,
2023-04-18,0,1,2023-04,,,
2023-04-19,1,2,2023-04,,,
2023-04-20,1,3,2023-04,,,
2023-04-21,0,3,2023-04,,,
2023-04-22,0,3,2023-04,,,
2023-04-23,0,3,2023-04,,,
2023-04-24,1,4,2023-04,,,
2023-04-25,1,5,2023-04,,,
2023-04-26,2,7,2023-04,,,
2023-04-27,1,8,2023-04,,,
2023-04-28,1,9,2023-04,,,
2023-04-29,0,9,2023-04,,,
2023-04-30,0,9,2023-04,,,
2023-05-01,0,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-02,1,10,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-03,1,10,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-04,0,10,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-05,0,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-06,0,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-07,0,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-08,0,8,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-09,0,7,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-10,1,7,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-11,0,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-12,1,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-13,0,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-14,0,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-15,2,6,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-16,0,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-17,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-18,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-19,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-20,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-21,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-22,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-23,0,4,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-24,1,5,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-25,2,6,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-26,2,8,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-27,0,8,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-28,0,8,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-29,2,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-30,2,9,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-05-31,4,13,2023-05,15.0,-0.13349660473728245,-0.057256660500831294
2023-06-01,2,15,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-02,4,19,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-03,0,19,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-04,0,19,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-05,2,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-06,0,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-07,4,24,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-08,2,24,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-09,6,28,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-10,0,28,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-11,0,28,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-12,4,30,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-13,3,31,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-14,2,29,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-15,3,30,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-16,3,29,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-17,0,29,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-18,0,29,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-19,3,30,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-20,2,32,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-21,2,30,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-22,2,30,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-23,1,25,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-24,0,25,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-25,0,25,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-26,1,22,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-27,2,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-28,0,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-29,0,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-06-30,0,21,2023-06,40.0,-0.0281325979543399,-0.014455891382244785
2023-07-01,0,21,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-02,0,21,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-03,2,21,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-04,2,20,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-05,3,20,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-06,4,21,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-07,3,22,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-08,0,22,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-09,0,22,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-10,4,24,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-11,3,25,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-12,6,30,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-13,9,38,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-14,8,44,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-15,0,44,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-16,0,44,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-17,9,51,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-18,11,60,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-19,9,66,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-20,9,71,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-21,7,75,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-22,0,75,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-23,0,75,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-24,7,78,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-25,7,82,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-26,3,79,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-27,2,72,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-28,3,67,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-29,0,67,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-30,0,67,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-07-31,3,61,2023-07,74.0,0.9404897609009797,0.12541981585109457
2023-08-01,3,53,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-02,3,47,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-03,2,40,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-04,2,35,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-05,0,35,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-06,0,35,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-07,1,29,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-08,1,23,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-09,3,23,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-10,3,24,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-11,4,25,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-12,0,25,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-13,0,25,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-14,8,30,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-15,6,33,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-16,6,36,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-17,10,44,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-18,14,56,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-19,0,56,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-20,0,56,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-21,13,68,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-22,16,83,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-23,20,100,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-24,22,119,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-25,18,133,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-26,0,133,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-27,0,133,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-28,19,144,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-29,22,160,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-30,0,160,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-08-31,24,179,2023-08,102.0,0.6773695103140966,0.10019303878468519
2023-09-01,24,193,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-02,0,193,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-03,0,193,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-04,21,200,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-05,22,209,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-06,20,213,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-07,16,209,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-08,14,201,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-09,0,201,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-10,0,201,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-11,13,195,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-12,10,186,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-13,11,175,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-14,9,160,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-15,8,144,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-16,0,144,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-17,0,144,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-18,7,130,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-19,6,114,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-20,6,100,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-21,5,89,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-22,9,84,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-23,0,84,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-24,0,84,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-25,9,80,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-26,14,84,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-27,8,81,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-28,8,80,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-29,10,82,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-09-30,0,82,2023-09,347.0,1.052936971759283,0.08949781006273352
2023-10-01,0,82,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-02,14,89,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-03,17,100,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-04,15,109,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-05,15,119,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-06,9,119,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-07,0,119,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-08,0,119,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-09,10,120,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-10,10,116,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-11,5,113,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-12,6,111,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-13,5,106,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-14,0,106,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-15,0,106,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-16,3,95,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-17,3,81,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-18,3,69,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-19,5,59,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-20,3,53,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-21,0,53,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-22,0,53,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-23,4,47,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-24,4,41,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-25,4,40,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-26,2,36,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-27,4,35,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-28,0,35,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-29,0,35,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-30,2,34,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-10-31,2,33,2023-10,194.0,0.24008738483407233,0.050107238361809796
2023-11-01,3,33,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-02,3,31,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-03,4,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-04,0,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-05,0,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-06,4,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-07,4,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-08,3,31,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-09,3,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-10,5,33,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-11,0,33,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-12,0,33,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-13,1,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-14,2,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-15,0,29,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-16,1,27,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-17,0,23,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-18,0,23,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-19,0,23,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-20,2,21,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-21,1,18,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-22,3,18,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-23,5,20,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-24,2,17,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-25,0,17,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-26,0,17,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-27,3,19,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-28,4,21,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-29,7,28,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-11-30,5,32,2023-11,66.0,0.09959430608058616,0.012922289168837978
2023-12-01,5,37,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-02,0,37,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-03,0,37,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-04,5,40,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-05,7,46,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-06,4,47,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-07,3,45,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-08,4,47,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-09,0,47,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-10,0,47,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-11,2,46,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-12,3,45,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-13,2,40,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-14,0,35,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-15,0,30,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-16,0,30,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-17,0,30,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-18,1,26,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-19,2,21,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-20,3,20,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-21,1,18,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-22,2,16,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-23,0,16,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-24,0,16,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-25,2,16,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-26,1,14,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-27,2,14,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-28,3,17,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-29,3,20,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-30,0,20,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2023-12-31,0,20,2023-12,67.0,-0.6074857528498386,-0.05637671468272687
2024-01-01,0,20,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-02,2,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-03,3,22,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-04,2,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-05,1,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-06,0,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-07,0,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-08,2,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-09,2,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-10,2,22,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-11,2,22,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-12,2,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-13,0,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-14,0,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-15,0,18,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-16,2,18,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-17,2,17,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-18,4,19,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-19,2,20,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-20,0,20,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-21,0,20,2024-01,42.0,0.3612491315179138,0.0360805183183571
2024-01-22,3,21,2024-01,42.0,0.3612491315179138,0.0360805183183571
