gate,feature,rho,weight,n_used
regime_trig,rs_score,-0.1204,-1.0000,7801
regime_trig,rt_tier_ord,0.0867,1.0000,4237
regime_trig,dist_20d_high_pct,0.0862,1.0000,8697
regime_trig,drawdown_20d_pct,0.0862,1.0000,8697
regime_trig,atr_pct,-0.0798,-1.0000,9939
regime_trig,rt_cmf,0.0762,1.0000,9939
regime_trig,dist_20d_low_pct,0.0679,1.0000,8697
regime_trig,atr,-0.0669,-1.0000,9939
regime_trig,ret_20d,0.0655,1.0000,8666
regime_trig,alsat_regime,-0.0611,-1.0000,9939
weekly_trig,dist_ema21_pct,0.1851,1.0000,2794
weekly_trig,ret_20d,0.1782,1.0000,2794
weekly_trig,dist_20d_low_pct,0.1774,1.0000,2794
weekly_trig,dist_20d_high_pct,0.1503,1.0000,2794
weekly_trig,drawdown_20d_pct,0.1503,1.0000,2794
weekly_trig,rt_di_spread,0.1470,1.0000,2794
weekly_trig,ret_5d,0.1401,1.0000,2794
weekly_trig,rt_ok_eq0,-0.1386,-1.0000,2794
weekly_trig,rt_regime,0.1303,1.0000,2794
weekly_trig,rt_trend_score,0.1290,1.0000,2794
alsat_trig,rt_cmf,0.0689,1.0000,19747
alsat_trig,days_since_NW,-0.0688,-1.0000,18299
alsat_trig,atr_pct,-0.0676,-1.0000,19747
alsat_trig,dist_20d_high_pct,0.0654,1.0000,19747
alsat_trig,drawdown_20d_pct,0.0654,1.0000,19747
alsat_trig,rt_tier_ord,0.0640,1.0000,1106
alsat_trig,atr,-0.0558,-1.0000,19747
alsat_trig,rt_part_score,0.0516,1.0000,19747
alsat_trig,alsat_macd_pos,0.0509,1.0000,19747
