date,pos,close
2004-08-11,154,187.7546
2005-04-17,323,232.8594
2005-10-18,453,307.6671
2006-06-25,623,319.5056
2007-02-28,794,395.8824
2007-08-15,913,444.733
2008-06-30,1133,332.0824
2008-11-19,1231,212.2827
2009-03-04,1301,230.3595
2009-11-19,1481,452.3095
2010-02-24,1547,487.3943
2010-05-24,1608,522.5707
2011-03-01,1801,586.6424
2011-08-09,1915,503.0763
2011-11-23,1985,496.2167
2012-05-24,2114,548.0994
2013-02-21,2303,758.9869
2013-08-27,2432,654.524
2014-03-02,2558,611.8915
2014-10-07,2707,729.435
2015-03-12,2817,766.4213
2015-09-13,2944,712.9943
2016-01-20,3033,685.6789
2016-11-30,3249,725.1985
2017-11-27,3500,1020.6803
2018-08-15,3683,871.4321
2019-01-02,3776,873.9902
2019-05-21,3873,836.7533
2019-10-13,3968,939.8139
2020-03-22,4081,842.4617
2020-08-05,4171,1034.4
2021-12-21,4517,1804.15
2022-02-23,4563,1851.38
2022-07-04,4652,2371.25
2022-09-28,4710,3146.89
2023-02-06,4803,4505.34
2023-05-04,4859,4400.75977
2023-12-26,5022,7260.43994
2024-11-04,5234,8618.57031
2025-06-01,5377,9008.87012
2025-10-16,5473,10208.75977
2026-03-08,5572,12702.0
